,Line #,Name,Description,Designator,Quantity,LCSC,Manufacturer 1,Manufacturer Part Number 1
,39,3.9R 1%,"Resistor, 3.9R, 1%, 200ppm, 1/16W, 1005, 0402",R73,1,C2933095,FOJAN,
,38,SDNT1005X103F3950FTF,"NTC Thermistors 10k @25°C, B3950, 0.33mA max",R32,1,C95939,Sunlord,SDNT1005X103F3950FTF
,18,FSMD020-1206-R,"PTC,  30V, I_ hold 200mA, I_Trip 400mA, Imax 100A, 1206","F1, F2",2,C220145,Fuzetec,FSMD020-1206-R
,7,2.2u X7R 100V,"Capacitor, 2.2nF, 10%, X7R, 100V, 2012, 0805",C18,1,C22367838,Chinocera,
,16,MBR1H100SFT3G,"Rectifier Diode, Schottky, 1 Phase, 1A, 100V","D12, D13",2,C235757,onsemi,MBR1H100SFT3G
,1,10n X7R 100V,"Capacitor, 10nF, 10%, X7R, 100V, 1005, 0402","C1, C2, C5",3,C527014,Yageo Group,CC0402KRX7R0BB103
,5,10u X7R 63V,"Capacitor, 10uF, 10%, X7R, 63V, 3225, 1210","C9, C10, C11, C12, C28, C29, C59, C60, C61, C67",10,C437568,Murata,GRM32ER71J106KA12L
,10,SMAJ48A,"Diode, TVS, Single, Unidirectional, Vrwm max 48V, Vbr min 53.3V, Vcl max 77.4V, Irm 1uA, peak puls power 400W, C 80pF @50V, IEC61000-4-2 ESD, IEC61000-4-4 EFT, IEC61000-4-5 Surge, DO-214AC, 2.9x4.6x2.65mm, -55°C ~ 150°C","D1, D8",2,C41376401,hongjiacheng,SMAJ48A
,12,APTD1608LQBC/D,"Standard LEDs - SMD Chip LED, Package= 0603, Color = Blue","D4, D6, D9, D14",4,C5344742,Kingbright,APTD1608LQBC/D
,13,B0520LW-7-F,"Schottky Diodes & Rectifiers 20V 410mW, SMD, SOD123",D5,1,C155367,Diodes Inc.,B0520LW-7-F
,15,SK6812-EC20,"-40℃~+80℃ 0.65mA 160° 1kHz 2000V 620nm~630nm 800Kbit/s R:100mcd~200mcd Semi-transparent lens SMD,2x2mm RGB LEDs(Built-in IC) ROHS",D11,1,C2909058,OPSCO Optoelectronics,
,17,HS20HS072RX,"240x320 (2.4"") TFT-LCD panel Integrated driver (ST7789T3) and FPC",DSP1,1,C5329582,,
,20,DX07S024JJ2R1300,"USB Connector USB 3.2 Gen 2 TypeC Receptacle Horizontal SMT Body, Height 3.14 mm, 24 Contacts",J1,1,C2977282,JAE Electronics,DX07S024JJ2R1300
,21,FCR7350R,4MM PANEL SKT S16N-PC RED,J3,1,C7437326,Cliff,FCR7350R
,22,FCR7350B,4MM PANEL SKT S16N-PC BLACK,J4,1,C7437327,Cliff,FCR7350B
,23,AFC07-S12FCA-00,"0.3mm 0.5mm 12P 2mm Bottom Contact Slide Lock Surface Mount, Right Angle SMD,P=0.5mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS",J8,1,C262559,JUSHUO,
,26,FUET-9018,"-30℃~+70℃ 1V~25V 2.1mm 3V 4kHz 5mA 65dB 9mm 9mm Passive (Externally Driven) Piezoelectric SMD, 9x9mm Buzzers ROHS",PZ1,1,C391035,FUET,
,27,AGM612AP,"MOSFET, n-channel, 60V, r_ds_on 11mOhm, 10A @Ta=25°C, 50A @Tc=25°C, Vgs_th 1.6V, SMD PDFN-8 pin, (3.3x3.3x0.8mm), -55°C ~ 155°C (Tj)",Q1,1,C5349119,AGM,AGM612AP
,28,AO3404A,"MOSFET 30V 1.4W, SOT-23-3L","Q2, Q4, Q5, Q6, Q7",5,C30010,Alpha & Omega Semiconductor,AO3404A
,,SQJB90EP-T1_GE3,"Mosfet, 2 N-Channel (Dual), 80V, 30A, 48W, Rds 21mOhm @ 8A, 10V, PPAK-SO8",Q3,1,C727731,Vishay,SQJB90EP-T1_GE3
